rcsb_id,entry.id,struct.title,exptl.method,exptl_crystal_grow.crystal_id,exptl_crystal_grow.method,exptl_crystal_grow.pH,exptl_crystal_grow.temp,exptl_crystal_grow.pdbx_details,exptl_crystal.density_Matthews,exptl_crystal.density_percent_sol,exptl_crystal_grow.pdbx_details_extracted.pH,exptl_crystal_grow.pdbx_details_extracted.temperature,exptl_crystal_grow.pdbx_details_extracted.method,exptl_crystal_grow.pdbx_details_extracted.reagents,exptl_crystal_grow.pdbx_details_refined
4OLC,4OLC,Carbamate kinase from Giardia lamblia thiocarbamoylated by disulfiram on Cys242,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",5.0,295.0,"0.4 M ammonium citrate dibasic, 21% PEG3350, crystal soaked in 2 mM disulfiram overnight, pH 5.0, VAPOR DIFFUSION, HANGING DROP, temperature 295K",2.49,50.51,5.0,295,"VAPOR DIFFUSION, HANGING DROP","{'ammonium citrate dibasic': '0.4 M', 'PEG3350': '21% (w/v)'}","{
  ""pH"": 5.0,
  ""temperature"": 295,
  ""reagents"": {
    ""ammonium citrate dibasic"": ""0.4 M"",
    ""PEG3350"": ""21% (w/v)""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  												  				"
1FWK,1FWK,CRYSTAL STRUCTURE OF HOMOSERINE KINASE COMPLEXED WITH ADP,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",8.0,293.0,"PEG4000, sodium acetate, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",3.29,62.58,8.0,293,"VAPOR DIFFUSION, HANGING DROP","{'PEG4000': None, 'sodium acetate': '10 mM'}","{
  ""pH"": 8.0,
  ""temperature"": 293,
  ""reagents"": {
    ""PEG4000"": null,
    ""sodium acetate"": ""10 mM""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  														   	"
1J90,1J90,Crystal Structure of Drosophila Deoxyribonucleoside Kinase,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",6.5,287.0,"ammonium sulfate, mPEG5000, PEG400, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 287K",2.27,45.75,6.5,287,"VAPOR DIFFUSION, HANGING DROP","{'ammonium sulfate': '1M', 'mPEG5000': '50% (w/v)', 'PEG400': '40% (w/v)'}","{
  ""pH"": 6.5,
  ""temperature"": 287,
  ""reagents"": {
    ""ammonium sulfate"": ""1M"",
    ""mPEG5000"": ""50% (w/v)"",
    ""PEG400"": ""40% (w/v)""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
																			"
6Q8P,6Q8P,"Structure of CLK1 with bound N-methyl-10-nitropyrido[3,4-g]quinazolin-2-amine",X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",7.5,277.0,"Protein solution: 7-8 mg/ml protein in 30 mM Hepes, pH 7.5, 300 mM NaCl, 50 mM arginine/glutamine mix 1:1, 0.5 mM TCEP, and 1% v/v glycerol.
Reservoir solution: 29% (v/v) 1,2 propanediol, 0.08 M Na/K phosphate. 
Crystals were soaked for 72 h in reservoir solution complemented with 1 mM compound and 20% ethylene glycol.",2.55,51.8,7.5,293,HANGING DROP,"{'Protein solution': '7-8 mg/ml protein in 30 mM Hepes, pH 7.5, 300 mM NaCl, 50 mM arginine/glutamine mix 1:1, 0.5 mM TCEP, and 1% v/v glycerol.', 'Reservoir solution': '29% (v/v) 1,2 propanediol, 0.08 M Na/K phosphate.'}","{
   ""pH"": 7.5,
   ""temperature"": 293,
   ""reagents"": {
    ""Protein solution"": ""7-8 mg/ml protein in 30 mM Hepes, pH 7.5, 300 mM NaCl, 50 mM arginine/glutamine mix 1:1, 0.5 mM TCEP, and 1% v/v glycerol."",
    ""Reservoir solution"": ""29% (v/v) 1,2 propanediol, 0.08 M Na/K phosphate.""
  },
   ""method"": ""HANGING DROP""
}
  										  						"
8CDW,8CDW,CRYSTAL STRUCTURE OF HUMAN HPK1 (MAP4K1) COMPLEX WITH 7-(1-methyl-1H-pyrazol-4-yl)-N-[4-(1-methylpiperidin-4-yl)phenyl]quinazolin-2-amine,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",7.0,293.0,"4.0 % (w/v) PEG5000 MME, 0.05 M HEPES, pH=6.50, 0.032 M Na3-Citrate, pH=7.0",2.23,44.73,6.5,0,HANGING DROP,"{'PEG5000 MME': '4.0 % (w/v)', 'HEPES': '0.05 M', 'Na3-Citrate': '0.032 M'}","{
  ""pH"": 6.5,
  ""temperature"": 0,
  ""reagents"": {
    ""PEG5000 MME"": ""4.0 % (w/v)"",
    ""HEPES"": ""0.05 M"",
    ""Na3-Citrate"": ""0.032 M""
  },
  ""method"": ""HANGING DROP""
}
  																		"
4G3E,4G3E,Crystal structure of murine NF-kappaB inducing kinase (NIK) bound to a 6-alkynylindoline (cmp1),X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",6.2,277.0,"2uL protein with 2uL well solution of 0.5 M ammonium sulfate, 0.9 M lithium sulfate,0.1M sodium citrate tribasic dihydrate then soaked in well solution with 1 mM cmp1, pH 6.2, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.98,58.73,6.2,277,"VAPOR DIFFUSION, HANGING DROP","{'ammonium sulfate': '0.5 M', 'lithium sulfate': '0.9 M', 'sodium citrate tribasic dihydrate': '0.1M'}","{
  ""pH"": 6.2,
  ""temperature"": 277,
  ""reagents"": {
    ""ammonium sulfate"": ""0.5 M"",
    ""lithium sulfate"": ""0.9 M"",
    ""sodium citrate tribasic dihydrate"": ""0.1M""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
"
1ZM7,1ZM7,Crystal structure of D. melanogaster deoxyribonucleoside kinase mutant N64D in complex with dTTP,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",6.5,288.0,"MES, lithium sulphate, mPEG 2000, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 288K",2.7,54.6,6.5,288,"VAPOR DIFFUSION, HANGING DROP","{'MES': '100mM', 'lithium sulfate': '200 mM (w/v)', 'mPEG 2000': '20% (w/v)'}","{
  ""pH"": 6.5,
  ""temperature"": 288,
  ""reagents"": {
    ""MES"": ""100mM"",
    ""lithium sulfate"": ""200 mM (w/v)"",
    ""mPEG 2000"": ""20% (w/v)""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  								    						"
4DN5,4DN5,Crystal Structure of NF-kB-inducing Kinase (NIK),X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",5.4,293.0,"12.5% polyethylene glycol 3350, 200 mM ammonium sulfate and 0.1 M sodium citrate, pH 5.4, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.66,53.83,5.4,293,"VAPOR DIFFUSION, SITTING DROP","{'polyethylene glycol 3350': '12.5%', 'ammonium sulfate': '200 mM', 'sodium citrate': '0.1 M'}","{
  ""pH"": 5.4,
  ""temperature"": 293,
  ""reagents"": {
    ""polyethylene glycol 3350"": ""12.5%"",
    ""ammonium sulfate"": ""200 mM"",
    ""sodium citrate"": ""0.1 M""
  },
  ""method"": ""VAPOR DIFFUSION, SITTING DROP""
}
  				  												"
1A49,1A49,BIS MG-ATP-K-OXALATE COMPLEX OF PYRUVATE KINASE,X-RAY DIFFRACTION,1.0,,6.0,,pH 6.0,2.74,57.2,6.0,0,HANGING DROP,{},"{
  ""pH"": 6.0,
  ""temperature"": 0,
  ""reagents"": {},
  ""method"": ""HANGING DROP""
}
																				"
5VO1,5VO1,DLK in complex with compound 10 (5-(1-isopropyl-5-(3-(oxetan-3-yl)-3-azabicyclo[3.1.0]hexan-6-yl)-1H-pyrazol-3-yl)-3-(trifluoromethyl)pyridin-2-amine),X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",7.7,293.0,"20% PEG 3350, 0.2 M Mg Acetate, 0.1 M Hepes pH 7.7",2.0,38.36,7.7,278.15,HANGING DROP,"{'PEG 3350': '20%', 'Mg Acetate': '0.2 M', 'HEPES': '0.1 M'}","{
  ""pH"": 7.7,
  ""temperature"": 278.15,
  ""reagents"": {
    ""PEG 3350"": ""20%"",
    ""Mg Acetate"": ""0.2 M"",
    ""HEPES"": ""0.1 M""
  },
  ""method"": ""HANGING DROP""
}
  "
1ZTH,1ZTH,Crystal Structure of A.fulgidus Rio1 serine protein kinase bound to ADP and Manganese ion,X-RAY DIFFRACTION,1.0,VAPOR DIFFUSION,6.5,293.0,"PEG 4000, MES, Ammonium Sulfate, pH 6.5, VAPOR DIFFUSION, temperature 293K",2.33,46.73,6.5,293,VAPOR DIFFUSION,"{'Ammonium sulfate': '0.1M', 'MES': '100mM'}","{
  ""pH"": 6.5,
  ""temperature"": 293,
  ""reagents"": {
    ""Ammonium sulfate"": ""0.1M"",
    ""MES"": ""100mM""
  },
  ""method"": ""VAPOR DIFFUSION""
}
  "
1ZOG,1ZOG,Crystal structure of protein kinase CK2 in complex with TBB-derivatives,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",8.0,293.0,"PEG 4000, Sodium Acetate, TRIS, pH 8.0, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.35,47.66,8.0,293,"VAPOR DIFFUSION, SITTING DROP","{'PEG 4000': None, 'Sodium Acetate': None, 'TRIS': None}","{
  ""pH"": 8.0,
  ""temperature"": 293,
  ""reagents"": {
    ""PEG 4000"": null,
    ""Sodium Acetate"": null,
    ""TRIS"": null
  },
  ""method"": ""VAPOR DIFFUSION, SITTING DROP""
}
								   						   "
3E0W,3E0W,Crystal structure of pyruvate kinase from Leishmania mexicana,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",4.2,277.0,"20% Saturated ammonium sulphate, 100mM Na citrate, pH 4.2 (soaked in 40% Saturated ammonium sulphate, 100mM NaCl, pH 4.2), VAPOR DIFFUSION, HANGING DROP, temperature 277K",4.45,72.35,4.2,277,"VAPOR DIFFUSION, HANGING DROP",{},"{
  ""pH"": 4.2,
  ""temperature"": 277,
  ""reagents"": {},
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  								 									"
4JAU,4JAU,"Structural basis of a rationally rewired protein-protein interface (HK853mutant A268V, A271G, T275M, V294T and D297E)",X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",8.5,294.0,"8% PEG4000, 0.8M lithium chloride, Tris, pH 8.5, VAPOR DIFFUSION, SITTING DROP, temperature 294K",2.45,49.78,8.5,294,"VAPOR DIFFUSION, SITTING DROP","{'PEG 4000': '8%', 'lithium chloride': '0.8M', 'Tris': '100mM'}","{
  ""pH"": 8.5,
  ""temperature"": 294,
  ""reagents"": {
    ""PEG 4000"": ""8%"",
    ""lithium chloride"": ""0.8M"",
    ""Tris"": ""100mM""
  },
  ""method"": ""VAPOR DIFFUSION, SITTING DROP""
}
  												  				"
1DAW,1DAW,CRYSTAL STRUCTURE OF A BINARY COMPLEX OF PROTEIN KINASE CK2 (ALPHA-SUBUNIT) AND MG-AMPPNP,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",8.0,298.0,"PEG 3350, SODIUM ACETATE, TRIS/HCL, pH 8.0, VAPOR DIFFUSION, SITTING DROP, temperature 298K",2.44,49.55,8.0,298,"VAPOR DIFFUSION, SITTING DROP","{'PEG 3350': None, 'SODIUM ACETATE': None, 'TRIS/HCL': None}","{
  ""pH"": 8.0,
  ""temperature"": 298,
  ""reagents"": {
    ""PEG 3350"": null,
    ""SODIUM ACETATE"": null,
    ""TRIS/HCL"": null
  },
  ""method"": ""VAPOR DIFFUSION, SITTING DROP""
}
  "
1F0Q,1F0Q,CRYSTAL STRUCTURE OF THE ALPHA SUBUNIT OF PROTEIN KINASE CK2 IN COMPLEX WITH THE NUCLEOTIDE COMPETITIVE INHIBITOR EMODIN,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",8.0,292.0,"PEG 4000, sodium acetate, Tris-HCl, pH 8.0, VAPOR DIFFUSION, SITTING DROP, temperature 292K",2.1,41.4,8.0,292,"VAPOR DIFFUSION, SITTING DROP","{'PEG 4000': '', 'sodium acetate': '0.1M', 'Tris-HCl': '100mM'}","{
  ""pH"": 8.0,
  ""temperature"": 292,
  ""reagents"": {
    ""PEG 4000"": """",
    ""sodium acetate"": ""0.1M"",
    ""Tris-HCl"": ""100mM""
  },
  ""method"": ""VAPOR DIFFUSION, SITTING DROP""
}
 																			"
1M2R,1M2R,"Crystal structure of 5,8-di-amino-1,4-di-hydroxy-anthraquinone/CK2 kinase complex",X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",8.0,293.0,"PEG 4000, Sodium Acetate, Tris, pH 8.0, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.085,41.07,8.0,293,"VAPOR DIFFUSION, SITTING DROP","{'PEG 4000': '10% (w/v)', 'Sodium Acetate': '0.2M', 'Tris': '100 mM'}","{
  ""pH"": 8.0,
  ""temperature"": 293,
  ""reagents"": {
    ""PEG 4000"": ""10% (w/v)"",
    ""Sodium Acetate"": ""0.2M"",
    ""Tris"": ""100 mM""
  },
  ""method"": ""VAPOR DIFFUSION, SITTING DROP""
}
  																		"
1NW1,1NW1,Crystal Structure of Choline Kinase,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",8.0,296.0,"PEG 2000, calcium acetate, bicine, pH 8.0, VAPOR DIFFUSION, SITTING DROP, temperature 296K",2.8,55.76,8.0,296,"VAPOR DIFFUSION, SITTING DROP","{'PEG 2000': '100%', 'calcium acetate': '1M', 'bicine': '10 mM'}","{
  ""pH"": 8.0,
  ""temperature"": 296,
  ""reagents"": {
    ""PEG 2000"": ""100%"",
    ""calcium acetate"": ""1M"",
    ""bicine"": ""10 mM""
  },
  ""method"": ""VAPOR DIFFUSION, SITTING DROP""
}
  												  				"
1ZAK,1ZAK,"ADENYLATE KINASE FROM MAIZE IN COMPLEX WITH THE INHIBITOR P1,P5-BIS(ADENOSINE-5'-)PENTAPHOSPHATE (AP5A)",X-RAY DIFFRACTION,1.0,,7.5,,pH 7.5,2.8,56.0,7.5,0,HANGING DROP,{},"{
  ""pH"": 7.5,
  ""temperature"": 0,
  ""reagents"": {},
  ""method"": ""HANGING DROP""
}
  						  										"
3KXG,3KXG,"Crystal structure of Z. mays CK2 kinase alpha subunit in complex with the inhibitor 3,4,5,6,7-pentabromo-1H-indazole (K64)",X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",8.0,293.0,"20% PEG 4000, 0.2M Na-acetate, 0.1M Tris, pH 8.0, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.46,50.07,8.0,293,"VAPOR DIFFUSION, SITTING DROP","{'PEG4000': '20%', 'Na-acetate': '0.2M', 'Tris': '0.1M'}","{
  ""pH"": 8.0,
  ""temperature"": 293,
  ""reagents"": {
    ""PEG4000"": ""20%"",
    ""Na-acetate"": ""0.2M"",
    ""Tris"": ""0.1M""
  },
  ""method"": ""VAPOR DIFFUSION, SITTING DROP""
}
  												  				"
3KXH,3KXH,"Crystal structure of Z. mays CK2 kinase alpha subunit in complex with the inhibitor (2-dymethylammino-4,5,6,7-tetrabromobenzoimidazol-1yl-acetic acid (K66)",X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",8.0,293.0,"20% PEG 4000, 0.2M Na-acetate, 0.1M Tris, pH 8.0, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.57,52.07,8.0,293,"VAPOR DIFFUSION, SITTING DROP","{'PEG4000': '20%', 'Na-acetate': '0.2M', 'Tris': '0.1M'}","{
  ""pH"": 8.0,
  ""temperature"": 293,
  ""reagents"": {
    ""PEG4000"": ""20%"",
    ""Na-acetate"": ""0.2M"",
    ""Tris"": ""0.1M""
  },
  ""method"": ""VAPOR DIFFUSION, SITTING DROP""
}
												  						"
3KXM,3KXM,Crystal structure of Z. mays CK2 kinase alpha subunit in complex with the inhibitor K74,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",8.0,293.0,"20% PEG 4000, 0.2M Na-acetate, 0.1M Tris, pH 8.0, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.49,50.53,8.0,293,"VAPOR DIFFUSION, SITTING DROP","{'PEG 4000': '20%', 'Na-acetate': '0.2M', 'Tris': '0.1M'}","{
  ""pH"": 8.0,
  ""temperature"": 293,
  ""reagents"": {
    ""PEG 4000"": ""20%"",
    ""Na-acetate"": ""0.2M"",
    ""Tris"": ""0.1M""
  },
  ""method"": ""VAPOR DIFFUSION, SITTING DROP""
}
																				"
3KXN,3KXN,Crystal structure of Z. mays CK2 kinase alpha subunit in complex with the inhibitor tetraiodobenzimidazole (K88),X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",8.0,293.0,"20% PEG 4000, 0.2M Na-acetate, 0.1M Tris, pH 8.0, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.54,51.48,8.0,293,"VAPOR DIFFUSION, SITTING DROP","{'PEG 4000': '20%', 'Na-acetate': '0.2M', 'Tris': '0.1M'}","{
  ""pH"": 8.0,
  ""temperature"": 293,
  ""reagents"": {
    ""PEG 4000"": ""20%"",
    ""Na-acetate"": ""0.2M"",
    ""Tris"": ""0.1M""
  },
  ""method"": ""VAPOR DIFFUSION, SITTING DROP""
}
  												  				"
3ULZ,3ULZ,Crystal structure of apo BAK1,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",7.5,291.0,"PEG 3350, sodium citrate, ammonium sulfate, HEPES, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 291K",2.54,51.61,7.5,291,"VAPOR DIFFUSION, HANGING DROP",{},"{
  ""pH"": 7.5,
  ""temperature"": 291,
  ""reagents"": {},
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  															   "
2CSN,2CSN,BINARY COMPLEX OF CASEIN KINASE-1 WITH CKI7,X-RAY DIFFRACTION,,,,,,3.16,61.13,null,null,null,null,null
3QV8,3QV8,"Crystal structure of Leishmania mexicana pyruvate kinase(LmPYK)in complex with benzothiazole-2,5-disulfonic acid.",X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",7.2,277.0,"7-16% PEG 8,000, 20 mM TEA buffer (pH 7.2), 50 mM MgCl2, 100 mM KCl and 10-25% glycerol, VAPOR DIFFUSION, HANGING DROP, temperature 277K",3.04,59.59,7.2,277,"VAPOR DIFFUSION, HANGING DROP","{'PEG 8000': '7-16%', 'TEA buffer (pH 7.2)': '20 mM', 'MgCl2': '50 mM', 'KCl': '100 mM', 'glycerol': '10-25%'}","{
  ""pH"": 7.2,
  ""temperature"": 277,
  ""reagents"": {
    ""PEG 8000"": ""7-16%"",
    ""TEA buffer (pH 7.2)"": ""20 mM"",
    ""MgCl2"": ""50 mM"",
    ""KCl"": ""100 mM"",
    ""glycerol"": ""10-25%""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
																				"
6QTY,6QTY,Non-phosphorylated human CLK1 in complex with an indole inhibitor to 1.65 Ang,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",6.5,273.0,"24% PEG 3350, 200mM MgCl2, 100mM Bis-Tris (pH 6.5)",2.47,50.11,6.5,293,HANGING DROP,"{'PEG 3350': '24%', 'MgCl2': '200mM', 'Bis-Tris': '100mM (pH 7)'}","{
  ""pH"": 6.5,
  ""temperature"": 293,
  ""reagents"": {
    ""PEG 3350"": ""24%"",
    ""MgCl2"": ""200mM"",
    ""Bis-Tris"": ""100mM (pH 7)""
  },
  ""method"": ""HANGING DROP""
}
  																		"
3SL2,3SL2,ATP Forms a Stable Complex with the Essential Histidine Kinase WalK (YycG) Domain,X-RAY DIFFRACTION,1.0,,7.5,287.0,"10 mM Tris-HCl, 100 mM NaCl, 5% glycerol, 1.5 mM NaN3, pH 7.5, VAPOR DIFFUSION, temperature 287K",2.1,41.31,7.5,287,VAPOR DIFFUSION,"{'Tris-HCl': '10 mM', 'NaCl': '100 mM', 'glycerol': '5%', 'NaN3': '1.5 mM'}","{
  ""pH"": 7.5,
  ""temperature"": 287,
  ""reagents"": {
    ""Tris-HCl"": ""10 mM"",
    ""NaCl"": ""100 mM"",
    ""glycerol"": ""5%"",
    ""NaN3"": ""1.5 mM""
  },
  ""method"": ""VAPOR DIFFUSION""
}
  																		"
4D28,4D28,Crystal structure of the kinase domain of CIPK24/SOS2,X-RAY DIFFRACTION,1.0,,,,20 MM TRIS PH 7.0 AND 22% PEG 4K.,2.13,42.0,7.0,293,HANGING DROP,"{'TRIS': '100 mM', 'PEG4000': '22%'}","{
  ""pH"": 7.0,
  ""temperature"": 293,
  ""reagents"": {
    ""TRIS"": ""100 mM"",
    ""PEG4000"": ""22%""
  },
  ""method"": ""HANGING DROP""
}
"
1EH4,1EH4,"BINARY COMPLEX OF CASEIN KINASE-1 FROM S. POMBE WITH AN ATP COMPETITIVE INHIBITOR, IC261",X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",4.2,289.0,"Ammonium Sulfate, Sodium Acetate, MPD , pH 4.2, VAPOR DIFFUSION, HANGING DROP, temperature 289K",2.98,58.79,4.2,289,"VAPOR DIFFUSION, HANGING DROP","{'Ammonium Sulfate': '0.1M', 'Sodium Acetate': '0.05M', 'MPD': '20% (w/v)'}","{
  ""pH"": 4.2,
  ""temperature"": 289,
  ""reagents"": {
    ""Ammonium Sulfate"": ""0.1M"",
    ""Sodium Acetate"": ""0.05M"",
    ""MPD"": ""20% (w/v)""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  													  			"
5X8I,5X8I,Crystal structure of human CLK1 in complex with compound 25,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",9.0,291.0,"2% (v/v) PEG 200, 20% (v/v) tacsimate (pH 7.0), 0.1M HEPES (pH 9.0)",2.37,48.17,7.4,277,MICROBATCH,"{'HEPES': '0.1M', 'tacsimate': '20% (v/v)'}","{
  ""pH"": 7.4,
  ""temperature"": 277,
  ""reagents"": {
    ""HEPES"": ""0.1M"",
    ""tacsimate"": ""20% (v/v)""
  },
  ""method"": ""MICROBATCH""
}
  					   										"
8PAS,8PAS,Crystal structure of MAP4K1 with a SMOL inhibitor,X-RAY DIFFRACTION,1.0,VAPOR DIFFUSION,,293.0,NOT DISCLOSED,2.82,56.34,7.4,280,HANGING DROP,"{'Ammonium sulfate': '0.1M', 'HEPES': '0.2M', 'PEG400': '20% (w/v)'}","{
  ""pH"": 7.4,
  ""temperature"": 280,
  ""reagents"": {
    ""Ammonium sulfate"": ""0.1M"",
    ""HEPES"": ""0.2M"",
    ""PEG400"": ""20% (w/v)""
  },
  ""method"": ""HANGING DROP""
}
																			 "
8PAU,8PAU,Crystal structure of MAP4K1 with a SMOL inhibitor,X-RAY DIFFRACTION,1.0,VAPOR DIFFUSION,,293.0,NOT DISCLOSED,2.82,56.36,7.4,278,HANGING DROP,"{'HEPES': '0.1M', 'ammonium sulfate': '0.4M', 'PEG400': '20%', 'Tris': '0.1M'}","{
    ""pH"": 7.4,
    ""temperature"": 278,
    ""reagents"": {
        ""HEPES"": ""0.1M"",
        ""ammonium sulfate"": ""0.4M"",
        ""PEG400"": ""20%"",
        ""Tris"": ""0.1M""
    },
    ""method"": ""HANGING DROP""
}
																 	"
6YKY,6YKY,"Biochemical, Cellular and Structural Characterization of Novel ERK3 Inhibitors",X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",6.0,277.0,"100 mM Bis-Tris (pH 6), 100 mM Lithium acetate, 18%v/v Sokalan CP42, 3%vv Glycerol",2.49,50.67,7.4,277,HANGING DROP,"{'Bis-Tris': '100 mM', 'Lithium acetate': '100 mM', 'Sokalan CP42': '18% v/v', 'Glycerol': '3% vv'}","{
  ""pH"": 7.4,
  ""temperature"": 277,
  ""reagents"": {
    ""Bis-Tris"": ""100 mM"",
    ""Lithium acetate"": ""100 mM"",
    ""Sokalan CP42"": ""18% v/v"",
    ""Glycerol"": ""3% vv""
  },
  ""method"": ""HANGING DROP""
}
  					  											"
6YLC,6YLC,"Biochemical, Cellular and Structural Characterization of Novel ERK3 Inhibitors",X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",6.0,277.0,"100 mM Bis-Tris (pH 6), 100 mM Lithium acetate, 18%v/v Sokalan CP42, 3%v/v Glycerol",2.49,50.67,7.4,277,"VAPOR DIFFUSION, HANGING DROP","{'Bis-Tris': '0.1 M', 'Lithium acetate': '0.1 M', 'Sokalan CP42': '18% v/v', 'Glycerol': '3% v/v'}","{
  ""pH"": 7.4,
  ""temperature"": 277,
  ""reagents"": {
    ""Bis-Tris"": ""0.1 M"",
    ""Lithium acetate"": ""0.1 M"",
    ""Sokalan CP42"": ""18% v/v"",
    ""Glycerol"": ""3% v/v""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
		"
7SIU,7SIU,Crystal structure of HPK1 (MAP4K1) complex with inhibitor A-745,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",5.5,296.0,"20% PEG1000, 100 mM Li2SO4, 100 mM Sodium Citrate, pH 5.5",2.81,56.15,5.5,278.15,"VAPOR DIFFUSION, HANGING DROP","{'PEG1000': '20%', 'Li2SO4': '100 mM', 'Sodium Citrate': '100 mM'}","{
  ""pH"": 5.5,
  ""temperature"": 278.15,
  ""reagents"": {
    ""PEG1000"": ""20%"",
    ""Li2SO4"": ""100 mM"",
    ""Sodium Citrate"": ""100 mM""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  "
3E0V,3E0V,Crystal structure of pyruvate kinase from Leishmania mexicana in complex with sulphate ions,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",4.2,277.0,"20% Saturated ammonium sulphate, 100mM Na citrate, pH 4.2, VAPOR DIFFUSION, HANGING DROP, temperature 277K",4.51,72.7,4.2,277,"VAPOR DIFFUSION, HANGING DROP","{'Ammonium sulfate ((NH4)2SO4)': '20% (w/v)', 'sodium citrate': '100mM'}","{
  ""pH"": 4.2,
  ""temperature"": 277,
  ""reagents"": {
    ""Ammonium sulfate ((NH4)2SO4)"": ""20% (w/v)"",
    ""sodium citrate"": ""100mM""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  																		"
1A5U,1A5U,PYRUVATE KINASE COMPLEX WITH BIS MG-ATP-NA-OXALATE,X-RAY DIFFRACTION,1.0,,6.0,,pH 6.0,2.74,57.2,6.0,180.0,"VAPOR DIFFUSION, HANGING DROP","{'HEPES': '0.1M', 'ammonium sulfate': '0.4M', 'PEG400': '20%'}","{
    ""pH"": 6.0,
    ""temperature"": 180.0,
    ""reagents"": {
        ""HEPES"": ""0.1M"",
        ""ammonium sulfate"": ""0.4M"",
        ""PEG400"": ""20%""
    },
    ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  						   					   	"
1AQF,1AQF,"PYRUVATE KINASE FROM RABBIT MUSCLE WITH MG, K, AND L-PHOSPHOLACTATE",X-RAY DIFFRACTION,,,,,,2.99,58.89,null,null,null,null,null
